time,key
2021-02-15T09:49:06.810,"{'A','E','R'}"
2021-02-15T09:49:06.814,"{'A','E','R'}"
2021-02-15T09:49:06.818,"{'A','E','R'}"
2021-02-15T09:49:06.822,"{'A','E','R'}"
2021-02-15T09:49:06.826,"{'E','R'}"
2021-02-15T09:49:06.829,"{'E','R'}"
2021-02-15T09:49:06.834,"{'E','R'}"
2021-02-15T09:49:06.838,"{'E','R'}"
2021-02-15T09:49:06.844,"{'E','R'}"
2021-02-15T09:49:06.848,"{'E','R'}"
2021-02-15T09:49:06.852,"{'E','R'}"
2021-02-15T09:49:06.856,"{'E','R'}"
2021-02-15T09:49:06.860,"{'E','R'}"
2021-02-15T09:49:06.864,"{'E','R'}"
2021-02-15T09:49:06.868,"{'E','R'}"
2021-02-15T09:49:06.872,"{'E','R'}"
2021-02-15T09:49:06.876,"{'E','R'}"
2021-02-15T09:49:06.881,"{'E','R'}"
2021-02-15T09:49:06.885,"{'E','R'}"
2021-02-15T09:49:06.890,"{'E','R'}"
2021-02-15T09:49:06.894,"{'E','R'}"
2021-02-15T09:49:06.898,"{'E','R'}"
2021-02-15T09:49:06.903,"{'R'}"
2021-02-15T09:49:06.908,"{'R'}"
2021-02-15T09:49:06.911,"{'R'}"
2021-02-15T09:49:06.915,"{'R'}"
2021-02-15T09:49:06.920,"{'R'}"
2021-02-15T09:49:06.926,"{'R'}"
2021-02-15T09:49:06.931,"{'R'}"
2021-02-15T09:49:06.934,"{'R'}"
2021-02-15T09:49:06.937,"{'R'}"
2021-02-15T09:49:06.941,"{'G','R'}"
2021-02-15T09:49:06.945,"{'G','R'}"
2021-02-15T09:49:06.949,"{'G','R'}"
2021-02-15T09:49:06.953,"{'G','R'}"
2021-02-15T09:49:06.959,"{'G','R'}"
2021-02-15T09:49:06.962,"{'G'}"
2021-02-15T09:49:06.967,"{'G'}"
2021-02-15T09:49:06.971,"{'G'}"
2021-02-15T09:49:06.975,"{'G'}"
2021-02-15T09:49:06.979,"{'G'}"
2021-02-15T09:49:06.983,"{'G'}"
2021-02-15T09:49:06.987,"{}"
2021-02-15T09:49:06.992,"{}"
2021-02-15T09:49:06.996,"{}"
2021-02-15T09:49:07.000,"{}"
2021-02-15T09:49:07.005,"{}"
2021-02-15T09:49:07.009,"{}"
2021-02-15T09:49:07.013,"{}"
2021-02-15T09:49:07.017,"{}"
2021-02-15T09:49:07.023,"{}"
2021-02-15T09:49:07.027,"{}"
2021-02-15T09:49:07.031,"{}"
2021-02-15T09:49:07.035,"{}"
2021-02-15T09:49:07.039,"{}"
2021-02-15T09:49:07.043,"{}"
2021-02-15T09:49:07.047,"{}"
2021-02-15T09:49:07.052,"{}"
2021-02-15T09:49:07.056,"{}"
2021-02-15T09:49:07.060,"{}"
2021-02-15T09:49:07.065,"{}"
2021-02-15T09:49:07.069,"{}"
2021-02-15T09:49:07.073,"{}"
2021-02-15T09:49:07.078,"{}"
2021-02-15T09:49:07.080,"{}"
2021-02-15T09:49:07.085,"{}"
2021-02-15T09:49:07.089,"{}"
2021-02-15T09:49:07.093,"{}"
2021-02-15T09:49:07.097,"{}"
2021-02-15T09:49:07.102,"{}"
2021-02-15T09:49:07.106,"{}"
2021-02-15T09:49:07.109,"{}"
2021-02-15T09:49:07.114,"{}"
2021-02-15T09:49:07.118,"{}"
2021-02-15T09:49:07.122,"{}"
2021-02-15T09:49:07.126,"{}"
2021-02-15T09:49:07.131,"{}"
2021-02-15T09:49:07.135,"{}"
2021-02-15T09:49:07.139,"{}"
2021-02-15T09:49:07.144,"{}"
2021-02-15T09:49:07.148,"{'K'}"
2021-02-15T09:49:07.153,"{'K'}"
2021-02-15T09:49:07.157,"{'J','K'}"
2021-02-15T09:49:07.161,"{'J','K'}"
2021-02-15T09:49:07.165,"{'J','K'}"
2021-02-15T09:49:07.170,"{'J','K'}"
2021-02-15T09:49:07.174,"{'J','K'}"
2021-02-15T09:49:07.178,"{'J','K'}"
2021-02-15T09:49:07.182,"{'J','K'}"
2021-02-15T09:49:07.186,"{'J','K'}"
2021-02-15T09:49:07.191,"{'J','K'}"
2021-02-15T09:49:07.195,"{'J','K'}"
2021-02-15T09:49:07.199,"{'J','K'}"
2021-02-15T09:49:07.204,"{'J','K'}"
2021-02-15T09:49:07.209,"{'J','K'}"
2021-02-15T09:49:07.213,"{'J','K'}"
2021-02-15T09:49:07.217,"{'J','K'}"
2021-02-15T09:49:07.221,"{'J','K'}"
2021-02-15T09:49:07.225,"{'J','K'}"
2021-02-15T09:49:07.230,"{'J','K'}"
2021-02-15T09:49:07.232,"{'J','K'}"
2021-02-15T09:49:07.237,"{'J','K'}"
2021-02-15T09:49:07.242,"{'J','K'}"
2021-02-15T09:49:07.247,"{'J','K'}"
2021-02-15T09:49:07.251,"{'J','K'}"
2021-02-15T09:49:07.256,"{'J','K'}"
2021-02-15T09:49:07.260,"{'J','K'}"
2021-02-15T09:49:07.264,"{'J','K'}"
2021-02-15T09:49:07.268,"{'J','K'}"
2021-02-15T09:49:07.272,"{'J','K'}"
2021-02-15T09:49:07.276,"{'K','Y'}"
2021-02-15T09:49:07.281,"{'K','Y'}"
2021-02-15T09:49:07.285,"{'Y'}"
2021-02-15T09:49:07.289,"{'Y'}"
2021-02-15T09:49:07.292,"{'Y'}"
2021-02-15T09:49:07.296,"{'Y'}"
2021-02-15T09:49:07.300,"{'Y'}"
2021-02-15T09:49:07.305,"{'Y'}"
2021-02-15T09:49:07.309,"{'Y'}"
2021-02-15T09:49:07.313,"{'Y'}"
2021-02-15T09:49:07.317,"{'Y'}"
2021-02-15T09:49:07.322,"{'Y'}"
2021-02-15T09:49:07.326,"{'Y'}"
2021-02-15T09:49:07.330,"{'Y'}"
2021-02-15T09:49:07.334,"{'Y'}"
